Study,"Eligibility, recruitment & sampling",Follow-up,Risk-factor definition & measurement,Outcome definition & measurement,Confounding,Statistical analysis,Overall
"Amin, 2009",Low,Moderate,Moderate,Low,Low,Low,Moderate
"Chin, 2019",Moderate,High,Moderate,Low,Low,Low,High
"Culvenor, 2017",Low,High,Low,Low,Moderate,Low,High
"Culvenor, 2019",Low,High,Moderate,Low,Moderate,Low,High
"Dannhauer, 2014",Low,Moderate,Low,Low,Low,Moderate,Moderate
"Davis, 2019",High,High,High,Low,High,High,High
"Dell'isola, 2018",Low,Moderate,Moderate,Low,High,Low,High
"Hall, 2015",High,Moderate,Low,Low,Moderate,Low,High
"Keays, 2010",High,High,Moderate,Moderate,High,High,High
"Miyazaki, 2012",Moderate,Moderate,Low,Low,Moderate,Low,Moderate
"Segal, 2010",Low,Moderate,Moderate,Low,Low,Low,Moderate
"Sharma, 2003",Moderate,Low,Moderate,Low,High,Moderate,High
"Takagi, 2018",Moderate,High,Moderate,Low,Moderate,Low,High
"Woolard, 2011",High,High,Moderate,Low,High,High,High